player,minute,second,team,location,pass_outcome,pass_end_location
Breel-Donald Embolo,0,0,Switzerland,"[61.0, 40.1]",,"[43.1, 43.7]"
Remo Freuler,0,3,Switzerland,"[39.7, 45.5]",,"[42.3, 72.2]"
Silvan Widmer,0,6,Switzerland,"[42.3, 72.2]",,"[23.1, 62.4]"
Fabian Lukas Schär,0,8,Switzerland,"[23.1, 62.4]",,"[91.1, 76.4]"
Djibril Sow,0,15,Switzerland,"[105.6, 74.4]",Incomplete,"[108.0, 49.0]"
Xherdan Shaqiri,0,20,Switzerland,"[105.6, 47.5]",,"[113.1, 40.7]"
Manuel Obafemi Akanji,0,27,Switzerland,"[77.7, 35.9]",Out,"[99.3, 0.2]"
Andrija Živković,0,46,Serbia,"[20.0, 80.0]",,"[22.8, 71.7]"
Saša Lukić,0,47,Serbia,"[22.8, 71.9]",,"[22.0, 77.7]"
Djibril Sow,0,50,Switzerland,"[113.6, 12.4]",,"[106.0, 17.0]"
Fabian Lukas Schär,0,59,Switzerland,"[31.9, 50.4]",,"[9.2, 41.3]"
Gregor Kobel,1,2,Switzerland,"[7.6, 40.9]",,"[17.0, 60.2]"
Fabian Lukas Schär,1,9,Switzerland,"[34.9, 74.6]",,"[55.0, 60.8]"
Djibril Sow,1,12,Switzerland,"[49.2, 53.6]",,"[66.0, 16.4]"
Ruben Vargas,1,19,Switzerland,"[94.5, 19.2]",,"[112.6, 8.8]"
Ricardo Iván Rodríguez Araya,1,22,Switzerland,"[117.2, 6.0]",Incomplete,"[107.8, 31.9]"
Nikola Milenković,1,23,Serbia,"[12.3, 48.2]",,"[9.3, 65.3]"
Saša Lukić,1,24,Serbia,"[9.3, 66.3]",,"[23.8, 48.6]"
Sergej Milinković-Savić,1,27,Serbia,"[24.2, 48.6]",Incomplete,"[39.0, 48.6]"
Remo Freuler,1,29,Switzerland,"[81.1, 31.5]",Incomplete,"[94.5, 53.8]"
Filip Kostić,1,33,Serbia,"[28.4, 25.1]",Incomplete,"[79.0, 4.5]"
Filip Kostić,1,43,Serbia,"[79.0, 0.1]",,"[46.1, 3.0]"
