player,minute,second,team,location,shot_outcome,shot_statsbomb_xg,shot_end_location
Granit Xhaka,0,18,Switzerland,"[96.0, 38.8]",Blocked,0.036565553,"[108.2, 38.5]"
Breel-Donald Embolo,0,22,Switzerland,"[113.1, 40.7]",Saved,0.35328916,"[114.8, 40.6, 1.6]"
Granit Xhaka,0,23,Switzerland,"[103.8, 41.9]",Saved,0.06952749,"[115.5, 39.1, 1.0]"
Nikola Milenković,4,35,Serbia,"[112.2, 36.8]",Off T,0.08160872,"[120.0, 35.3, 3.5]"
Andrija Živković,10,5,Serbia,"[97.8, 51.5]",Post,0.030001678,"[120.0, 36.1, 0.6]"
Dušan Vlahović,10,7,Serbia,"[115.4, 38.6]",Saved,0.5168786,"[118.1, 39.1, 1.0]"
Remo Freuler,13,35,Switzerland,"[107.8, 35.9]",Blocked,0.09611784,"[113.3, 34.4]"
Xherdan Shaqiri,19,11,Switzerland,"[107.5, 50.6]",Goal,0.06969889,"[120.0, 43.1, 0.2]"
Granit Xhaka,21,11,Switzerland,"[97.3, 33.7]",Saved,0.04476528,"[116.9, 38.7, 0.2]"
Dušan Vlahović,22,15,Serbia,"[109.6, 35.4]",Saved,0.08628477,"[118.4, 38.7, 1.4]"
Aleksandar Mitrović,25,56,Serbia,"[108.3, 38.6]",Goal,0.06371751,"[120.0, 43.3, 0.9]"
Xherdan Shaqiri,29,53,Switzerland,"[107.7, 49.2]",Off T,0.3934682,"[120.0, 44.5, 0.6]"
Dušan Vlahović,34,28,Serbia,"[106.2, 31.8]",Goal,0.15928414,"[120.0, 43.7, 0.0]"
Ruben Vargas,37,26,Switzerland,"[101.0, 47.3]",Blocked,0.0683221,"[105.9, 45.2]"
Breel-Donald Embolo,43,41,Switzerland,"[114.4, 36.9]",Goal,0.72697556,"[120.0, 37.8, 0.6]"
Aleksandar Mitrović,47,38,Serbia,"[101.7, 33.7]",Wayward,0.056521177,"[105.3, 37.4]"
Remo Freuler,47,38,Switzerland,"[107.2, 41.2]",Goal,0.15381548,"[120.0, 42.7, 0.6]"
Fabian Lukas Schär,56,32,Switzerland,"[110.7, 30.5]",Blocked,0.07925899,"[114.1, 35.7]"
Breel-Donald Embolo,56,33,Switzerland,"[116.1, 39.3]",Off T,0.6647709,"[120.0, 38.8, 3.8]"
Dušan Tadić,60,6,Serbia,"[107.4, 31.7]",Off T,0.061684445,"[120.0, 37.1, 4.1]"
Aleksandar Mitrović,70,49,Serbia,"[106.2, 25.8]",Blocked,0.03203667,"[107.5, 27.4]"
Luka Jović,72,0,Serbia,"[102.2, 43.2]",Blocked,0.02594082,"[103.1, 43.1]"
Manuel Obafemi Akanji,81,58,Switzerland,"[99.4, 52.7]",Off T,0.030122569,"[120.0, 44.9, 2.3]"
Christian Fassnacht,88,48,Switzerland,"[105.3, 28.9]",Saved,0.31681746,"[107.0, 30.1, 0.0]"
Luka Jović,91,50,Serbia,"[105.0, 39.8]",Off T,0.03223471,"[120.0, 37.1, 4.1]"
Nemanja Radonjić,99,51,Serbia,"[105.7, 51.3]",Off T,0.042810295,"[120.0, 45.2, 0.6]"
Alejandro Darío Gómez,16,29,Argentina,"[98.2, 20.1]",Off T,0.011147299,"[120.0, 47.5, 7.1]"
Harry Souttar,28,9,Australia,"[111.9, 44.0]",Blocked,0.06809473,"[114.0, 40.9]"
Lionel Andrés Messi Cuccittini,34,35,Argentina,"[104.2, 48.9]",Goal,0.06663833,"[120.0, 37.1, 0.3]"
Lionel Andrés Messi Cuccittini,49,59,Argentina,"[99.8, 38.5]",Saved,0.04517154,"[116.9, 40.0, 0.6]"
Julián Álvarez,56,41,Argentina,"[110.4, 50.3]",Goal,0.28060678,"[120.0, 36.5, 0.3]"
Lionel Andrés Messi Cuccittini,65,50,Argentina,"[95.4, 33.6]",Off T,0.032841697,"[120.0, 31.6, 6.2]"
Nicolás Alejandro Tagliafico,74,43,Argentina,"[103.2, 24.9]",Off T,0.05181273,"[120.0, 49.6, 0.3]"
Craig Goodwin,76,9,Australia,"[98.2, 22.6]",Blocked,0.013616442,"[104.9, 26.6]"
Aziz Eraltay Behich,80,8,Australia,"[110.6, 33.2]",Blocked,0.07721693,"[111.4, 33.7]"
Ajdin Hrustic,80,41,Australia,"[100.0, 52.7]",Off T,0.033247408,"[120.0, 36.2, 3.8]"
Lautaro Javier Martínez,87,15,Argentina,"[108.3, 52.3]",Off T,0.051439364,"[120.0, 30.0, 0.2]"
Lautaro Javier Martínez,88,11,Argentina,"[107.6, 31.9]",Off T,0.24890411,"[120.0, 45.1, 5.4]"
Lautaro Javier Martínez,92,10,Argentina,"[109.1, 31.8]",Saved,0.37209997,"[114.1, 35.9, 0.5]"
Lionel Andrés Messi Cuccittini,92,50,Argentina,"[104.6, 52.2]",Off T,0.055600196,"[120.0, 36.5, 4.0]"
Exequiel Alejandro Palacios,93,43,Argentina,"[103.6, 50.1]",Blocked,0.046685893,"[107.3, 47.9]"
Lionel Andrés Messi Cuccittini,93,54,Argentina,"[102.2, 40.0]",Blocked,0.032042325,"[103.5, 39.9]"
Lautaro Javier Martínez,93,59,Argentina,"[108.3, 30.8]",Saved,0.076142184,"[119.1, 36.6, 0.2]"
Lionel Andrés Messi Cuccittini,94,0,Argentina,"[106.4, 37.0]",Wayward,0.110446885,"[120.0, 53.8]"
Garang Kuol,96,36,Australia,"[113.1, 49.4]",Saved,0.23394231,"[115.7, 46.4, 1.2]"
Riley McGree,2,29,Australia,"[94.6, 46.6]",Blocked,0.038979717,"[102.9, 44.5]"
Jesper Lindstrøm,10,0,Denmark,"[110.1, 43.9]",Blocked,0.09599891,"[111.1, 43.6]"
Mathias Jensen,10,52,Denmark,"[112.7, 56.3]",Saved,0.019605601,"[117.7, 45.4, 2.4]"
Andreas Skov Olsen,13,33,Denmark,"[104.7, 50.7]",Off T,0.10059545,"[120.0, 45.1, 5.0]"
Riley McGree,21,44,Australia,"[101.3, 59.0]",Saved,0.010740947,"[117.5, 42.9, 2.3]"
Andreas Skov Olsen,24,7,Denmark,"[109.6, 50.5]",Saved,0.09373255,"[116.4, 44.4, 0.4]"
Christian Dannemann Eriksen,28,36,Denmark,"[102.9, 25.6]",Off T,0.035615563,"[120.0, 33.5, 0.2]"
Mitchell Thomas Duke,31,33,Australia,"[102.5, 36.7]",Saved,0.037495814,"[118.4, 41.7, 1.8]"
Mitchell Thomas Duke,40,57,Australia,"[98.3, 20.9]",Saved,0.010397313,"[119.0, 37.3, 0.5]"
Aziz Eraltay Behich,46,10,Australia,"[100.2, 34.1]",Blocked,0.049681988,"[111.5, 39.6]"
Jackson Irvine,47,47,Australia,"[109.6, 30.8]",Off T,0.17342122,"[120.0, 42.8, 5.6]"
Andreas Skov Olsen,51,59,Denmark,"[107.2, 52.9]",Blocked,0.046983063,"[108.6, 51.2]"
Mathew Leckie,59,56,Australia,"[105.7, 31.5]",Goal,0.11353828,"[120.0, 43.5, 0.2]"
Andreas Skov Olsen,68,4,Denmark,"[103.1, 49.3]",Blocked,0.070518844,"[107.1, 46.3]"
Joachim Andersen,68,39,Denmark,"[113.9, 52.3]",Off T,0.020115681,"[120.0, 47.1, 5.8]"
Alexander Hartmann Bah,76,24,Denmark,"[99.4, 54.5]",Blocked,0.019515881,"[101.1, 53.5]"
Kasper Dolberg,76,25,Denmark,"[105.2, 39.6]",Saved,0.049264465,"[116.8, 38.4, 1.2]"
Jesper Lindstrøm,81,19,Denmark,"[97.5, 38.2]",Blocked,0.048889678,"[103.5, 38.7]"
Keanu Baccus,84,55,Australia,"[97.7, 47.5]",Blocked,0.035468098,"[100.3, 46.8]"
Alexander Hartmann Bah,87,30,Denmark,"[108.6, 57.0]",Off T,0.03670106,"[120.0, 46.5, 2.6]"
Kasper Dolberg,94,11,Denmark,"[117.6, 33.5]",Saved,0.08217044,"[118.4, 35.2, 1.2]"
Andreas Evald Cornelius,94,59,Denmark,"[116.6, 51.6]",Off T,0.017447446,"[120.0, 41.0, 3.5]"
Neymar da Silva Santos Junior,12,53,Brazil,"[119.2, 0.7]",Saved,0.00018,"[119.7, 38.7, 2.4]"
Neymar da Silva Santos Junior,20,6,Brazil,"[91.6, 29.2]",Blocked,0.020173745,"[104.9, 34.5]"
Carlos Henrique Casimiro,20,51,Brazil,"[84.3, 34.2]",Saved,0.0075366697,"[117.8, 39.9, 1.7]"
Raphael Dias Belloli,34,7,Brazil,"[105.3, 49.2]",Saved,0.119197816,"[117.7, 41.9, 0.5]"
Filip Mladenović,36,12,Serbia,"[113.6, 28.9]",Off T,0.026318645,"[120.0, 33.6, 4.0]"
Vinícius José Paixão de Oliveira Júnior,40,38,Brazil,"[113.2, 27.0]",Off T,0.09814694,"[120.0, 34.3, 1.5]"
Raphael Dias Belloli,45,35,Brazil,"[105.9, 47.3]",Saved,0.4224228,"[108.8, 45.7, 0.5]"
Neymar da Silva Santos Junior,49,57,Brazil,"[99.1, 27.0]",Blocked,0.06281959,"[107.6, 32.5]"
Thiago Emiliano da Silva,50,21,Brazil,"[113.1, 34.1]",Blocked,0.06673048,"[113.7, 34.7]"
Richarlison de Andrade,50,23,Brazil,"[115.8, 29.3]",Blocked,0.0399856,"[116.6, 31.1]"
Danilo Luiz da Silva,53,16,Brazil,"[95.9, 54.2]",Wayward,0.016877638,"[108.0, 39.9]"
Neymar da Silva Santos Junior,54,39,Brazil,"[107.5, 38.9]",Off T,0.11246919,"[120.0, 34.3, 2.7]"
Alex Sandro Lobo Silva,59,25,Brazil,"[88.0, 32.0]",Post,0.021819543,"[120.0, 36.1, 0.7]"
Vinícius José Paixão de Oliveira Júnior,59,36,Brazil,"[105.0, 20.1]",Off T,0.009459062,"[120.0, 49.0, 4.0]"
Vinícius José Paixão de Oliveira Júnior,61,57,Brazil,"[110.0, 26.9]",Saved,0.07986015,"[118.8, 39.3, 0.2]"
Richarlison de Andrade,61,58,Brazil,"[114.5, 41.8]",Goal,0.568145,"[120.0, 41.7, 0.2]"
Vinícius José Paixão de Oliveira Júnior,66,46,Brazil,"[109.1, 28.2]",Off T,0.14253756,"[120.0, 29.1, 3.7]"
Strahinja Pavlović,68,34,Serbia,"[111.8, 38.5]",Off T,0.098937765,"[120.0, 42.7, 4.5]"
Darko Lazović,69,54,Serbia,"[95.6, 50.9]",Off T,0.018288644,"[120.0, 48.9, 5.3]"
Richarlison de Andrade,72,54,Brazil,"[107.1, 39.6]",Goal,0.07569885,"[120.0, 37.0, 0.9]"
Carlos Henrique Casimiro,76,48,Brazil,"[86.3, 31.2]",Blocked,0.010592449,"[87.2, 31.4]"
Carlos Henrique Casimiro,80,52,Brazil,"[98.1, 35.2]",Post,0.06218912,"[120.0, 43.1, 2.8]"
Rodrygo Silva de Goes,81,32,Brazil,"[98.8, 27.3]",Saved,0.03669105,"[117.4, 40.1, 0.5]"
Frederico Rodrigues Santos,82,32,Brazil,"[95.6, 43.5]",Saved,0.088970646,"[113.3, 39.4, 0.9]"
Nikola Milenković,84,22,Serbia,"[99.3, 59.6]",Blocked,0.011090157,"[106.1, 53.2]"
Rodrygo Silva de Goes,86,7,Brazil,"[101.5, 30.6]",Off T,0.051727816,"[120.0, 43.2, 5.9]"
Antony Matheus dos Santos,87,49,Brazil,"[99.4, 59.1]",Off T,0.009657804,"[120.0, 35.7, 5.7]"
Nemanja Radonjić,97,3,Serbia,"[93.8, 21.5]",Blocked,0.008691933,"[99.7, 25.5]"
Fran Karačić,5,35,Australia,"[90.9, 41.2]",Blocked,0.015131147,"[91.8, 41.1]"
Mohamed Dräger,20,20,Tunisia,"[92.0, 42.5]",Off T,0.029703999,"[120.0, 40.4, 4.9]"
Mitchell Thomas Duke,22,50,Australia,"[110.1, 32.5]",Goal,0.04459479,"[120.0, 43.6, 0.4]"
Mitchell Thomas Duke,26,6,Australia,"[110.7, 34.3]",Blocked,0.03948435,"[111.4, 34.8]"
Jackson Irvine,33,45,Australia,"[114.3, 48.2]",Off T,0.07543106,"[120.0, 47.2, 0.3]"
Youssef Msakni,37,17,Tunisia,"[102.8, 54.8]",Blocked,0.031703874,"[105.9, 52.9]"
Mohamed Dräger,40,6,Tunisia,"[109.2, 48.4]",Blocked,0.21984866,"[114.8, 44.3]"
Mitchell Thomas Duke,43,4,Australia,"[104.9, 40.6]",Saved,0.040856346,"[117.2, 39.4, 1.0]"
Fran Karačić,43,38,Australia,"[106.4, 54.9]",Blocked,0.035070673,"[109.0, 51.9]"
Fran Karačić,45,44,Australia,"[87.2, 52.2]",Wayward,0.0052714557,"[120.0, 18.8]"
Youssef Msakni,47,16,Tunisia,"[111.0, 45.5]",Off T,0.23484555,"[120.0, 45.2, 1.2]"
Mitchell Thomas Duke,56,17,Australia,"[107.3, 39.8]",Wayward,0.06400663,"[115.1, 1.2]"
Ferjani Sassi,60,25,Tunisia,"[91.2, 52.7]",Off T,0.020219443,"[120.0, 47.8, 4.2]"
Youssef Msakni,65,18,Tunisia,"[101.8, 31.8]",Blocked,0.058604978,"[105.8, 34.1]"
Youssef Msakni,71,22,Tunisia,"[108.1, 25.0]",Saved,0.026706748,"[117.5, 36.2, 1.2]"
Youssef Msakni,71,50,Tunisia,"[95.6, 42.2]",Saved,0.048467197,"[116.7, 41.3, 1.1]"
Aaron Mooy,73,15,Australia,"[95.6, 44.1]",Off T,0.039191317,"[120.0, 43.7, 3.4]"
Youssef Msakni,74,6,Tunisia,"[110.1, 38.0]",Off T,0.10262261,"[120.0, 35.2, 5.5]"
Montassar Omar Talbi,83,13,Tunisia,"[89.6, 34.9]",Saved,0.012159805,"[118.2, 40.0, 1.3]"
Taha Yassine Khenissi,85,32,Tunisia,"[98.4, 54.6]",Blocked,0.012915949,"[99.2, 54.1]"
Naïm Sliti,86,36,Tunisia,"[109.8, 47.4]",Blocked,0.1403044,"[111.5, 45.5]"
Wahbi Khazri,87,48,Tunisia,"[109.9, 49.4]",Saved,0.09264534,"[116.7, 43.7, 0.8]"
Wahbi Khazri,91,46,Tunisia,"[108.4, 24.1]",Blocked,0.021421792,"[109.2, 25.2]"
Idrissa Gana Gueye,2,43,Senegal,"[106.9, 45.7]",Off T,0.21271749,"[120.0, 45.0, 1.5]"
Boulaye Dia,7,47,Senegal,"[109.3, 51.9]",Off T,0.16839646,"[120.0, 33.3, 0.2]"
Enner Remberto Valencia Lastra,9,51,Ecuador,"[86.9, 40.9]",Blocked,0.021615954,"[104.7, 40.3]"
Enner Remberto Valencia Lastra,9,58,Ecuador,"[95.9, 37.7]",Blocked,0.02803523,"[106.4, 39.9]"
Ismaïla Sarr,10,52,Senegal,"[99.2, 40.2]",Blocked,0.042373266,"[104.2, 40.6]"
Iliman Ndiaye,11,53,Senegal,"[99.7, 52.9]",Off T,0.02889044,"[120.0, 33.7, 3.1]"
