player,shot_efficiency,pass_accuracy,progressive_pass_ratio,dribble_success_rate,hidden_gem_score
Aaron Mooy,4.2966921736137405,74.3421052631579,42.10526315789473,0.0,24.299894892343758
Abdou Diallo,4.313595144365865,71.42857142857143,64.28571428571429,0.0,25.79547258624234
Abdulelah Al Amri,4.302824970996739,58.536585365853654,78.04878048780488,0.0,23.94501313009276
Abdullah Mohammed Madu,0.0,36.36363636363637,72.72727272727273,0.0,16.363636363636367
Abdulrahman Al-Obood,0.0,85.71428571428571,14.285714285714285,0.0,22.857142857142854
Achraf Dari,0.0,57.14285714285714,85.71428571428571,0.0,22.857142857142854
Achraf Hakimi Mouh,0.0,82.35294117647058,38.23529411764706,33.33333333333333,34.41176470588235
Adrien Rabiot,20.803751510638843,88.42105263157895,25.263157894736842,0.0,31.912891976092016
Ajdin Hrustic,4.32327306087345,78.26086956521739,26.08695652173913,25.0,31.187058614783968
Alan Steven Franco Palma,0.0,80.0,20.0,0.0,22.0
Alejandro Darío Gómez,4.422103730346397,96.96969696969695,12.12121212121212,66.66666666666666,47.00228176016668
Aleksandar Mitrović,12.73489343162512,75.55555555555556,22.22222222222222,0.0,25.5683238121799
Alex Nicolao Telles,0.0,90.9090909090909,36.36363636363637,0.0,26.363636363636363
Alex Sandro Lobo Silva,4.374377946763219,89.02439024390246,32.31707317073171,50.0,42.01883715941591
Alexander Hartmann Bah,8.692508305327499,74.0,30.0,100.0,54.54237790686462
Alexis Mac Allister,21.05384786450992,89.45147679324894,17.72151898734177,100.0,61.50386784962488
Ali Abdi,0.0,68.75,39.0625,0.0,21.09375
Ali Al Hassan,4.017855814986285,50.0,25.0,0.0,16.406249535245202
Ali Albulayhi,0.0,71.42857142857143,50.0,0.0,22.857142857142858
Alisson Ramsés Becker,0.0,75.60975609756098,48.78048780487805,0.0,23.78048780487805
Andreas Christensen,3.3367570169959273,94.04761904761905,31.547619047619047,100.0,57.834531622615245
Andreas Evald Cornelius,8.650023007798298,64.28571428571429,7.142857142857142,0.0,19.813222338443694
Andreas Skov Olsen,16.493326771433185,73.52941176470588,17.647058823529413,100.0,55.91972319353103
Andries Noppert,0.0,85.18518518518518,96.29629629629629,0.0,30.925925925925924
Andrija Živković,4.3377878159286585,73.21428571428571,32.142857142857146,0.0,23.036082878432172
Angelo Smit Preciado Quiñónez,0.0,74.35897435897436,23.076923076923077,0.0,20.897435897435898
Antoine Griezmann,7.923458632240205,72.5,30.0,50.0,38.89821052128407
Antony Matheus dos Santos,8.808049691780822,86.66666666666669,13.333333333333336,40.0,38.08281739212329
Artur Jędrzejczyk,0.0,80.0,60.0,0.0,26.0
Aurélien Djani Tchouaméni,8.66808587371528,89.78102189781022,35.03649635036496,100.0,58.9827351652894
Awer Mabil,0.0,100.0,0.0,0.0,25.0
Aymen Dahmen,0.0,65.21739130434783,73.91304347826086,0.0,23.695652173913043
Aziz Eraltay Behich,8.376421759936186,71.73913043478261,32.608695652173914,80.0,48.12739978989071
Azzedine Ounahi,4.3249143752955925,86.95652173913044,26.08695652173913,100.0,55.86154611830998
Aïssa Bilal Laïdouni,0.0,77.41935483870968,41.935483870967744,0.0,23.548387096774196
Bailey Wright,0.0,25.0,50.0,0.0,11.25
Bartosz Bereszyński,0.0,89.65517241379311,31.034482758620687,0.0,25.517241379310345
Bernardo Mota Veiga de Carvalho e Silva,3.9832716461699267,88.0,25.0,0.0,25.894145076159475
Boulaye Dia,7.991616956716251,45.45454545454545,9.090909090909092,66.66666666666666,35.06979320757796
Breel-Donald Embolo,5.61214290120026,75.86206896551724,10.344827586206897,50.0,36.96425001542009
Bruno Guimarães Rodriguez Moura,4.377199879384766,83.33333333333334,16.666666666666664,100.0,54.03201995778467
Bruno Miguel Borges Fernandes,8.657560076082635,77.02702702702703,29.72972972972973,100.0,55.25987575635865
Carlos Alberto Rodríguez Gómez,0.0,33.33333333333333,33.33333333333333,100.0,41.666666666666664
Carlos Armando Gruezo Arboleda,0.0,92.85714285714286,42.857142857142854,0.0,27.5
Carlos Henrique Casimiro,21.58945828332038,85.84070796460178,33.6283185840708,0.0,32.37931924871965
Carlos Uriel Antuna Romero,3.2703268567594552,50.0,7.142857142857142,100.0,44.358900114151524
Cheikh Ahmadou Bamba Mbacke Dieng,0.0,60.0,0.0,0.0,15.0
Christian Dannemann Eriksen,13.107258238347432,84.10596026490066,31.125827814569533,100.0,58.72661323110372
Christian Fassnacht,3.055160850131031,80.0,30.0,100.0,54.069306297545864
Christian Nørgaard,0.0,93.33333333333331,20.0,0.0,25.33333333333333
Cody Mathès Gakpo,0.0,55.26315789473685,44.73684210526316,28.57142857142857,26.860902255639097
Craig Goodwin,4.411061836584042,56.52173913043478,34.78260869565217,0.0,19.15256729497833
Cristian Gabriel Romero,0.0,88.8086642599278,34.29602888086642,100.0,55.63176895306859
Cristiano Ronaldo dos Santos Aveiro,4.2170716587844765,57.14285714285714,14.285714285714285,0.0,17.19026079486028
César Jasib Montes Castro,4.029701842089909,84.8,39.2,100.0,56.53039564473147
Daley Blind,0.0,82.75862068965517,27.586206896551722,0.0,23.448275862068968
Damian Szymański,0.0,100.0,11.11111111111111,0.0,26.11111111111111
Damián Emiliano Martínez,0.0,63.57142857142857,65.71428571428571,0.0,22.464285714285715
Danilo Luiz da Silva,4.396477918289228,85.71428571428571,30.952380952380953,100.0,56.06257679521075
Darko Lazović,4.390167964450976,63.63636363636363,18.181818181818183,0.0,19.26383151483057
Darwin Gabriel Núñez Ribeiro,4.345942768275068,59.09090909090909,31.818181818181817,100.0,49.47562542344173
Dayotchanculle Upamecano,0.0,86.0655737704918,42.62295081967213,0.0,25.778688524590162
Denis Lemi Zakaria Lako Lado,0.0,88.88888888888889,44.44444444444444,0.0,26.666666666666664
Denzel Dumfries,4.260006387684447,70.73170731707317,24.390243902439025,0.0,21.612953455201755
Diego Nicolás De La Cruz Arcosa,0.0,83.33333333333334,0.0,0.0,20.833333333333336
Diego Roberto Godín Leal,4.227387128349141,88.0,28.000000000000004,0.0,26.2795854949222
